INSTANCE,TIME,TIME_TYPE
eligible01.lp,0.059391,CPU TIME
eligible02.lp,0.067404,CPU TIME
eligible03.lp,0.064429,CPU TIME
eligible04.lp,0.078413,CPU TIME
eligible05.lp,0.072948,CPU TIME
eligible06.lp,0.069584,CPU TIME
eligible07.lp,0.075342,CPU TIME
eligible08.lp,0.082911,CPU TIME
eligible09.lp,0.07665,CPU TIME
eligible10.lp,0.084123,CPU TIME
eligible11.lp,0.088908,CPU TIME
eligible12.lp,0.088029,CPU TIME
eligible13.lp,0.08778,CPU TIME
eligible14.lp,0.091423,CPU TIME
eligible15.lp,0.090527,CPU TIME
eligible16.lp,0.088701,CPU TIME
eligible17.lp,0.102789,CPU TIME
eligible18.lp,0.102485,CPU TIME
eligible19.lp,0.10973,CPU TIME
eligible20.lp,0.108319,CPU TIME
eligible21.lp,0.109407,CPU TIME
eligible22.lp,0.099381,CPU TIME
eligible23.lp,0.10072,CPU TIME
eligible24.lp,0.103934,CPU TIME
eligible25.lp,0.109679,CPU TIME
yale01.lp,0.781764,CPU TIME
yale02.lp,0.892494,CPU TIME
yale03.lp,1.56882,CPU TIME
yale04.lp,0.491886,CPU TIME
yale05.lp,9.53623,CPU TIME
yale07.lp,9.85829,CPU TIME
yale08.lp,1.66351,CPU TIME
